,Unnamed: 0,wals_code,Name,latitude,longitude,genus,family,macroarea,countrycodes,1A Consonant Inventories,2A Vowel Quality Inventories,3A Consonant-Vowel Ratio,4A Voicing in Plosives and Fricatives,5A Voicing and Gaps in Plosive Systems,6A Uvular Consonants,7A Glottalized Consonants,8A Lateral Consonants,9A The Velar Nasal,10A Vowel Nasalization,11A Front Rounded Vowels,12A Syllable Structure,13A Tone,14A Fixed Stress Locations,15A Weight-Sensitive Stress,16A Weight Factors in Weight-Sensitive Stress Systems,17A Rhythm Types,18A Absence of Common Consonants,19A Presence of Uncommon Consonants,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,32A Systems of Gender Assignment,33A Coding of Nominal Plurality,34A Occurrence of Nominal Plurality,35A Plurality in Independent Personal Pronouns,36A The Associative Plural,37A Definite Articles,38A Indefinite Articles,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,43A Third Person Pronouns and Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,46A Indefinite Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,49A Number of Cases,50A Asymmetrical Case-Marking,51A Position of Case Affixes,52A Comitatives and Instrumentals,53A Ordinal Numerals,54A Distributive Numerals,55A Numeral Classifiers,56A Conjunctions and Universal Quantifiers,57A Position of Pronominal Possessive Affixes,58A Obligatory Possessive Inflection,59A Possessive Classification,"60A Genitives, Adjectives and Relative Clauses",61A Adjectives without Nouns,62A Action Nominal Constructions,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,71A The Prohibitive,72A Imperative-Hortative Systems,73A The Optative,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,78A Coding of Evidentiality,79A Suppletion According to Tense and Aspect,80A Verbal Number and Suppletion,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,"84A Order of Object, Oblique, and Verb",85A Order of Adposition and Noun Phrase,86A Order of Genitive and Noun,87A Order of Adjective and Noun,88A Order of Demonstrative and Noun,89A Order of Numeral and Noun,90A Order of Relative Clause and Noun,91A Order of Degree Word and Adjective,92A Position of Polar Question Particles,93A Position of Interrogative Phrases in Content Questions,94A Order of Adverbial Subordinator and Clause,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,100A Alignment of Verbal Person Marking,101A Expression of Pronominal Subjects,102A Verbal Person Marking,103A Third Person Zero of Verbal Person Marking,104A Order of Person Markers on the Verb,105A Ditransitive Constructions: The Verb 'Give',106A Reciprocal Constructions,107A Passive Constructions,108A Antipassive Constructions,109A Applicative Constructions,110A Periphrastic Causative Constructions,111A Nonperiphrastic Causative Constructions,112A Negative Morphemes,113A Symmetric and Asymmetric Standard Negation,114A Subtypes of Asymmetric Standard Negation,115A Negative Indefinite Pronouns and Predicate Negation,116A Polar Questions,117A Predicative Possession,118A Predicative Adjectives,119A Nominal and Locational Predication,120A Zero Copula for Predicate Nominals,121A Comparative Constructions,122A Relativization on Subjects,123A Relativization on Obliques,124A 'Want' Complement Subjects,125A Purpose Clauses,126A 'When' Clauses,127A Reason Clauses,128A Utterance Complement Clauses,129A Hand and Arm,130A Finger and Hand,131A Numeral Bases,132A Number of Non-Derived Basic Colour Categories,133A Number of Basic Colour Categories,134A Green and Blue,135A Red and Yellow,136A M-T Pronouns,137A N-M Pronouns,138A Tea,139A Irregular Negatives in Sign Languages,140A Question Particles in Sign Languages,141A Writing Systems,142A Para-Linguistic Usages of Clicks,143F Postverbal Negative Morphemes,90B Prenominal relative clauses,144Y The Position of Negative Morphemes in Object-Initial Languages,90C Postnominal relative clauses,144P NegSOV Order,144J SVNegO Order,144N Obligatory Double Negation in SOV languages,144S SOVNeg Order,144X Verb-Initial with Clause-Final Negative,"144A Position of Negative Word With Respect to Subject, Object, and Verb",90G Double-headed relative clauses,90E Correlative relative clauses,144V Verb-Initial with Preverbal Negative,144I SNegVO Order,144R SONegV Order,143B Obligatory Double Negation,144M Multiple Negative Constructions in SOV Languages,144U Double negation in verb-initial languages,144G Optional Double Negation in SVO languages,144K SVONeg Order,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,144F Obligatory Double Negation in SVO languages,90D Internally-headed relative clauses,144E Multiple Negative Constructions in SVO Languages,144D The Position of Negative Morphemes in SVO Languages,"81B Languages with two Dominant Orders of Subject, Object, and Verb",143E Preverbal Negative Morphemes,143C Optional Double Negation,90F Adjoined relative clauses,143A Order of Negative Morpheme and Verb,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,144O Optional Double Negation in SOV languages,144Q SNegOV Order,144L The Position of Negative Morphemes in SOV Languages,144H NegSVO Order,144C Languages with different word order in negative clauses,144T The Position of Negative Morphemes in Verb-Initial Languages,143G Minor morphological means of signaling negation,143D Optional Triple Negation,39B Inclusive/Exclusive Forms in Pama-Nyungan,137B M in Second Person Singular,136B M in First Person Singular,109B Other Roles of Applied Objects,10B Nasal Vowels in West Africa,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection,108B Productivity of the Antipassive Construction,130B Cultural Categories of Languages with Identity of 'Finger' and 'Hand',58B Number of Possessive Nouns,79B Suppletion in Imperatives and Hortatives,Climate
0,0,aab,Arapesh (Abu),-3.45,142.95,Kombio-Arapesh,Torricelli,,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 SVO,1 SV,2 VO,,,,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,,,2 Final,2 Not initial interrogative phrase,,,,4 VO and NAdj,,,,,,,,,,,,,,,2 Negative particle,,,,1 Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,1 VNeg,,,,,7 No SVNegO,,,,4 SVONeg,,,,8 No SNegVO,,,,,,1 NoDoubleNeg,"6 End, not immed postverbal",,,,4 SVONeg,,4 None,,,2 VNeg,,,,,4 No NegSVO,,,4 None,,,,,,,,,,,,,A
1,1,aar,Aari,6.0,36.58333333,South Omotic,Afro-Asiatic,Africa,ET,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,,,,,,,9 No plural,,,,3 Definite affix,"4 No indefinite, but definite article",,,,,,,,,,,,,1 Case suffixes,,,,,,4 No possessive affixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,1 Noun-Relative clause,,6 No question particle,,,1 OV and Postpositions,2 OV and NRel,2 OV and NAdj,,,,2 Subject affixes on verb,,,,,,,,,,,1 Negative affix,,,,2 Interrogative verb morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,2 [V-Neg],,,1 Noun-Relative clause (NRel) dominant,,,,,,20 MorphNeg,,,,,,,,,,,,,,,,,4 None,,,4 [V-Neg],,,,21 SV&OV&[V-Neg],,,,4 None,,,,,,,,,,,,,C
2,2,aba,Abau,-4.0,141.25,Upper Sepik,Sepik,Papunesia,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,,2 Noun-Demonstrative,2 Noun-Numeral,,,,,,1 OV and Postpositions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 VNeg,,,,4 No NegSOV,,,1 Word&NoDoubleNeg,,8 SOVNeg,,,,,8 No SONegV,,,,,,4 Immed postverbal,,,,,,4 None,,,2 VNeg,,,4 No SNegOV,4 SOVNeg,,,,4 None,,,,,,,,,,,,,A
3,3,abb,Arabic (Abb??ch?? Chad),13.83333333,20.83333333,Semitic,Afro-Asiatic,Africa,TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,3 Special imperative + normal negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
4,4,abd,Abidji,5.666666667,-4.583333333,Kwa,Niger-Congo,Africa,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 3.5,2 4.5-5.5,2 Green/blue,2 Red/yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
5,5,abe,Arabic (Beirut),33.91666667,35.5,Semitic,Afro-Asiatic,Eurasia,LB,,,,,,,,,,,,,,1 No fixed stress,4 Right-oriented: One of the last three,4 Long vowel or coda consonant,1 Trochaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
6,6,abh,Arabic (Bahrain),26.0,50.5,Semitic,Afro-Asiatic,Eurasia,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Logical meanings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
7,7,abi,Abip?_n,-29.0,-61.0,South Guaicuruan,Guaicuruan,South America,AR,2 Moderately small,2 Average (5-6),3 Average,1 No voicing contrast,1 Other,4 Uvular stops and continuants,1 No glottalized consonants,"2 /l/, no obstruent laterals",3 No velar nasal,2 Contrast absent,1 None,3 Complex,,,,,,1 All present,1 None,1 Exclusively concatenative,5 No case,,,,,2 Strongly suffixing,,1 No case marking,2 Syncretic,,,,2 Plural suffix,,4 Person-number stem,,,,3 No inclusive/exclusive,2 'We' the same as 'I',,,,6 No gender distinctions,,,,2 No person marking,1 No morphological case-marking,1 No case-marking,9 No case affixes or adpositional clitics,,,,,,3 Prefixes and suffixes,,,,,,,,2 No grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,,,,,,,,1 No grammatical evidentials,1 No grammatical evidentials,,,2 SVO,1 SV,2 VO,1 VOX,2 Prepositions,3 No dominant order,3 No dominant order,1 Demonstrative-Noun,,1 Noun-Relative clause,1 Degree word-Adjective,,1 Initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,5 Other,1 Neutral,1 Neutral,2 Accusative,,5 Both the A and P arguments,3 Zero in some 3sg forms,2 A precedes P,,,2 Absent,,,,2 Morphological but no compound,2 Negative particle,3 Both,3 A/Cat,,,,,,,3 Conjoined,,,,,,,,2 Different,2 Different,,,,,,,,,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,,7 No SVNegO,,,,21 Other,,,,,,,,,,4 No SVONeg,,,,,11 Other NegV,,1 NegV,,,1 NegV,,,,,,,,4 None,,,,,,,,1 monoexponential TAM,,,,,C
8,8,abk,Abkhaz,43.08333333,41.0,Northwest Caucasian,Northwest Caucasian,Eurasia,GE,5 Large,1 Small (2-4),5 High,4 In both plosives and fricatives,2 None missing in /p t k b d g/,2 Uvular stops only,2 Ejectives only,"2 /l/, no obstruent laterals",3 No velar nasal,2 Contrast absent,1 None,3 Complex,1 No tones,1 No fixed stress,7 Not predictable,6 Lexical stress,,1 All present,4 Pharyngeals,1 Exclusively concatenative,5 No case,6 10-11 categories per word,1 Head marking,1 Head marking,1 Head-marking,4 Equal prefixing and suffixing,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,3 Three,2 Sex-based,2 Semantic,2 Plural suffix,"6 All nouns, always obligatory",4 Person-number stem,2 Unique affixal associative plural,1 Definite word distinct from demonstrative,2 Indefinite word same as 'one',5 Inclusive/exclusive,3 No inclusive/exclusive,2 Two-way contrast,1 Identical,,1 In 3rd person + 1st and/or 2nd person,,3 Special,2 Differentiated,4 Pronouns and nouns,2 2 cases,2 Symmetrical,9 No case affixes or adpositional clitics,2 Differentiation,"5 First/one-th, two-th, three-th",7 Marked by mixed or other strategies,1 Absent,,1 Possessive prefixes,2 Absent,1 No possessive classification,6 Highly differentiated,2 Without marking,3 Ergative-Possessive,1 'And' different from 'with',1 Identity,1 Grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,3 Special imperative + normal negative,4 Neither type of system,1 Inflectional optative present,2 Verbal constructions,1 Verbal constructions,2 Overlap for either possibility or necessity,2 Indirect only,2 Verbal affix or clitic,1 Tense,1 None,1 SOV,1 SV,1 OV,3 XOV,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,1 Demonstrative-Noun,3 No dominant order,2 Relative clause-Noun,1 Degree word-Adjective,6 No question particle,2 Not initial interrogative phrase,4 Subordinating suffix,1 OV and Postpositions,1 OV and RelN,2 OV and NAdj,1 Neutral,1 Neutral,3 Ergative,2 Subject affixes on verb,5 Both the A and P arguments,2 No zero realization,3 P precedes A,1 Indirect-object construction,2 Distinct from reflexive,2 Absent,3 No antipassive,4 Benefactive and other; only transitive,2 Purposive but no sequential,2 Morphological but no compound,1 Negative affix,3 Both,3 A/Cat,1 Predicate negation also present,2 Interrogative verb morphology,5 'Have',1 Verbal encoding,1 Different,1 Impossible,,4 Gap,4 Gap,2 Subject is expressed overtly,2 Balanced/deranked,3 Deranked,3 Deranked,2 Balanced/deranked,2 Different,2 Different,2 Hybrid vigesimal-decimal,,,,,1 No M-T pronouns,1 No N-M pronouns,,,,,,2 [V-Neg],1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,,2 Suffix&NoDoubleNeg,,20 MorphNeg,,,,,2 Prefix&NoDoubleNeg,,6 SO[Neg-V]/SO[V-Neg],,,,,,,,,,2 [Neg-V],,,11 Type 3 / Type 4,,,4 No SNegOV,15 More than one construction,,,,4 None,,,2 m in second person singular,1 No m in first person singular,1 Instrument,,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material),D
9,9,abm,Alabama,32.33333333,-87.41666667,Muskogean,Muskogean,North America,US,1 Small,1 Small (2-4),4 Moderately high,2 In plosives alone,1 Other,1 None,1 No glottalized consonants,4 /l/ and lateral obstruent,3 No velar nasal,,1 None,,,,,,,1 All present,1 None,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,1 Interrogative-based,,,,,,,,,,,,,,,,,1 'And' different from 'with',,,,,,,,,,,,,,2 Indirect only,2 Verbal affix or clitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Locational,1 Verbal encoding,1 Different,2 Possible,,,,,,,,,2 Different,2 Different,1 Decimal,,,,,,,3 Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
